item,url,artist,discount_price,price,is_sold_out,ds,vendor,is_autograph,avg_review_value,number_of_questions,number_of_reviews,presale
NMIXX 2nd Single ENTWURF,https://en.thejypshop.com/product/nmixx-2nd-single-entwurf/657/category/68/display/1/,NMIXX,13.36,16.5,False,2022-11-14,jypshop,,,,,
NMIXX 2nd Single ENTWURF (Limited Ver.),https://en.thejypshop.com/product/nmixx-2nd-single-entwurf-limited-ver/656/category/68/display/1/,NMIXX,20.09,24.8,False,2022-11-14,jypshop,,,,,
1st Single AD MARE (Light Ver.),https://en.thejypshop.com/product/1st-single-ad-mare-light-ver/62/category/68/display/1/,NMIXX,10.37,12.8,False,2022-11-14,jypshop,,,,,
[Show Case] NMIXX 2nd Single ENTWURF (Limited Ver.),https://en.thejypshop.com/product/show-case-nmixx-2nd-single-entwurf-limited-ver/681/category/68/display/1/,NMIXX,20.09,24.8,True,2022-11-14,jypshop,,,,,
1st Single AD MARE,https://en.thejypshop.com/product/1st-single-ad-mare/71/category/68/display/1/,NMIXX,20.01,24.7,True,2022-11-14,jypshop,,,,,
DAY6 1st Album SUNRISE(LP),https://en.thejypshop.com/product/day6-1st-album-sunriselp/703/category/36/display/1/,DAY6,84.97,104.9,True,2022-11-14,jypshop,,,,,
DAY6 2nd Album MOONRISE (LP),https://en.thejypshop.com/product/day6-2nd-album-moonrise-lp/702/category/36/display/1/,DAY6,84.97,104.9,True,2022-11-14,jypshop,,,,,
DAY6(The Book of Us) Mini 6th Album : The Demon,https://en.thejypshop.com/product/day6the-book-of-us-mini-6th-album-the-demon/701/category/36/display/1/,DAY6,14.09,17.4,False,2022-11-14,jypshop,,,,,
DAY6(The Book of Us) :Gluon-Nothing can tear us apart,https://en.thejypshop.com/product/day6the-book-of-us-gluon-nothing-can-tear-us-apart/700/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
DAY6(The Book of Us) : Negentropy -Chaos swallowed up in love,https://en.thejypshop.com/product/day6the-book-of-us-negentropy-chaos-swallowed-up-in-love/699/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
DAY6(Even of Day) : Right Through Me,https://en.thejypshop.com/product/day6even-of-day-right-through-me/698/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
Young K 1st Mini Album : Eternal,https://en.thejypshop.com/product/young-k-1st-mini-album-eternal/697/category/36/display/1/,Young K(DAY6),14.09,17.4,False,2022-11-14,jypshop,,,,,
WONPIL(DAY6) : Pilmography,https://en.thejypshop.com/product/wonpilday6-pilmography/696/category/36/display/1/,WONPIL(DAY6),14.82,18.3,False,2022-11-14,jypshop,,,,,
DAY6 3rd Album The Book of Us : Entropy,https://en.thejypshop.com/product/day6-3rd-album-the-book-of-us-entropy/677/category/36/display/1/,DAY6,14.09,17.4,False,2022-11-14,jypshop,,,,,
DAY6 5th Mini Album The Book of Us : Gravity,https://en.thejypshop.com/product/day6-5th-mini-album-the-book-of-us-gravity/676/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14,jypshop,,,,,
