item,url,price,is_autograph,vendor,is_sold_out,ds
Pre-Order - CHEN The 3rd Mini Album ‘사라지고 있어 (Last Scene)' (Digipack Ver.) + Special Postcard,https://smglobalshop.com/products/pre-order-chen-the-3rd-mini-album-사라지고-있어-last-scene-digipack-ver-special-postcard,19,False,smglobalshop,False,2022-11-14
Pre-Order - CHEN The 3rd Mini Album ‘사라지고 있어 (Last Scene)' (Photo Book Ver.) + Special Postcard,https://smglobalshop.com/products/pre-order-chen-the-3rd-mini-album-사라지고-있어-last-scene-photo-book-ver-special-postcard,24,False,smglobalshop,True,2022-11-14
SEULGI The 1st Mini Album_’28 Reasons’ (Special Ver.) + Special Postcard,https://smglobalshop.com/products/2nd-pre-order-seulgi-the-1st-mini-album_-28-reasons-special-ver-special-postcard,28,False,smglobalshop,True,2022-11-14
SEULGI The 1st Mini Album_’28 Reasons’ (Photobook Ver.) + Special Postcard,https://smglobalshop.com/products/2nd-pre-order-seulgi-the-1st-mini-album_-28-reasons-photobook-ver-special-postcard,23,False,smglobalshop,True,2022-11-14
SEULGI The 1st Mini Album_’28 Reasons’ (Case Ver.) + Special Postcard,https://smglobalshop.com/products/2nd-pre-order-seulgi-the-1st-mini-album_-28-reasons-case-ver-special-postcard,25,False,smglobalshop,True,2022-11-14
Pre-Order - NCT Official Fanlight (Lightstick),https://smglobalshop.com/products/pre-order-nct-official-fanlight-lightstick-1,55,False,smglobalshop,True,2022-11-14
NCT 127 질주 2Baddies Dad Hat Deluxe Box Set,https://smglobalshop.com/products/pre-order-nct-127-질주-2baddies-dad-hat-deluxe-box-set,40,False,smglobalshop,False,2022-11-14
NCT 127 질주 2Baddies Tote Bag Deluxe Box Set,https://smglobalshop.com/products/pre-order-nct-127-질주-2baddies-tote-bag-deluxe-box-set,40,False,smglobalshop,False,2022-11-14
NCT 127 질주 2Baddies Long Sleeve T-shirts Deluxe Box Set,https://smglobalshop.com/products/pre-order-nct-127-질주-2baddies-long-sleeve-t-shirts-deluxe-box-set,40,False,smglobalshop,False,2022-11-14
XIUMIN The 1st Mini Album 'Brand New' (Digipack Ver.),https://smglobalshop.com/products/pre-order-xiumin-the-1st-mini-album-brand-new-digipack-ver,20,False,smglobalshop,True,2022-11-14
XIUMIN The 1st Mini Album 'Brand New' (Photo Book Ver.),https://smglobalshop.com/products/pre-order-xiumin-the-1st-mini-album-brand-new-photo-book-ver,22,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Fortune Scratch Card Set,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-fortune-scratch-card-set,10,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Key Ring + Photo Card Set,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-key-ring-photo-card-set,28,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Mug + Photo Card Set,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-mug-photo-card-set,30,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Logo Chain Badge Set,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-logo-chain-badge-set,25,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Special AR Ticket Set,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-special-ar-ticket-set,20,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] String Eco Bag,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-string-eco-bag,40,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Hoodie B,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-hoodie-b,75,False,smglobalshop,True,2022-11-14
Pre-Order - [2022 Girls' Generation Special Event : Long Lasting Love] Hoodie A,https://smglobalshop.com/products/pre-order-2022-girls-generation-special-event-long-lasting-love-hoodie-a,75,False,smglobalshop,True,2022-11-14
Pre-Order - aespa 'Girls' Bracelet + SGS Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-girls-necklace-sgs-exclusive-photo-card,37,False,smglobalshop,False,2022-11-14
Pre-Order - aespa 'Girls' Sunglasses + SGS Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-girls-sunglasses-sgs-exclusive-photo-card,35,False,smglobalshop,False,2022-11-14
Pre-Order - aespa 'Girls' Mini Shoulder Bag + SGS Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-girls-mini-shoulder-bag-sgs-exclusive-photo-card,65,False,smglobalshop,False,2022-11-14
Pre-Order - aespa 'Life's Too Short' Photocard Collection Book + SGS Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-lifes-too-short-photocard-collection-book-sgs-exclusive-photo-card,32,False,smglobalshop,True,2022-11-14
Pre-Order - aespa 'Life's Too Short' 1000pcs Puzzle + SGS Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-lifes-too-short-1000pcs-puzzle-sgs-exclusive-photo-card,40,False,smglobalshop,False,2022-11-14
NCT 127 The 4th Album ‘2 Baddies’ (Digipack Ver.),https://smglobalshop.com/products/pre-order-nct-127-the-4th-album-2-baddies-digipack-ver,13.98,False,smglobalshop,False,2022-11-14
NCT 127 질주 2 Baddies Lanyard + Buttons Deluxe Box Set,https://smglobalshop.com/products/pre-order-nct-127-질주-2-baddies-lanyard-buttons-deluxe-box-set,40,False,smglobalshop,False,2022-11-14
NCT 127 질주 2Baddies Short Sleeve T-shirts Deluxe Box Set,https://smglobalshop.com/products/pre-order-nct-127-the-4th-album-2-baddies-short-sleeve-t-shirts-deluxe-box-set,40,False,smglobalshop,False,2022-11-14
BoA 22nd Anniversary Key Ring,https://smglobalshop.com/products/pre-order-boa-22nd-anniversary-key-ring,28,False,smglobalshop,False,2022-11-14
BoA 22nd Anniversary Lucky Card Set,https://smglobalshop.com/products/pre-order-boa-22nd-anniversary-lucky-card-set,18,False,smglobalshop,False,2022-11-14
NCT DREAM 6th Anniversary Acrylic Stand & AR Voice Card Set,https://smglobalshop.com/products/pre-order-nct-dream-6th-anniversary-acrylic-stand-ar-voice-card-set,32,False,smglobalshop,False,2022-11-14
NCT 127 The 4th Album ‘2 Baddies’ (Photobook Ver.),https://smglobalshop.com/products/pre-order-nct-127-the-4th-album-2-baddies-photobook-ver,18.98,False,smglobalshop,False,2022-11-14
Pre-Order - KEY The 2nd Album ’Gasoline’ (VHS Ver.) + SGS Bonus Postcard,https://smglobalshop.com/products/pre-order-key-the-2nd-album-gasoline-vhs-ver,28,False,smglobalshop,True,2022-11-14
Pre-Order - KEY The 2nd Album ’Gasoline’ (Floppy Ver.) + SGS Bonus Postcard,https://smglobalshop.com/products/pre-order-key-the-2nd-album-gasoline-floppy-ver,21,False,smglobalshop,True,2022-11-14
