item,url,artist,discount_price,price,sold_out,ds
6th Album GENTLEMEN’S GAME(LP Ver.),/product/6th-album-gentlemens-gamelp-ver/119/category/52/display/1/,2PM,35.64,44.0,True,2022-11-14
Stray Kids Mini Album MAXIDENT (CASE ver.),/product/stray-kids-mini-album-maxident-case-ver/842/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
"Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",/product/stray-kids-mini-album-maxident-t-crush-ver-heart-ver/737/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14
Mixtape,/product/mixtape/111/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14
I am NOT,/product/i-am-not/109/category/59/display/1/,Stray Kids,12.64,15.6,False,2022-11-14
I am WHO,/product/i-am-who/106/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
I am YOU,/product/i-am-you/105/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
Cle 1 : MIROH,/product/cle-1-miroh/100/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
Cle 2 : Yellow Wood,/product/cle-2-yellow-wood/98/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
Stray Kids - Cle : LEVANTER,/product/stray-kids-cle-levanter/94/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
1st Album GO生,/product/1st-album-go生/92/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
1st Album Repackage IN生(IN LIFE),/product/1st-album-repackage-in生in-life/89/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
Stray Kids 2nd Album NOEASY,/product/stray-kids-2nd-album-noeasy/70/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14
Stray Kids 2nd Album NOEASY (Jewel Case Ver.),/product/stray-kids-2nd-album-noeasy-jewel-case-ver/69/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
Holiday Special Single Christmas EveL,/product/holiday-special-single-christmas-evel/65/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14
Mini Album ODDINARY,/product/mini-album-oddinary/64/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14
Mini Album ODDINARY (Jewel Case Ver.),/product/mini-album-oddinary-jewel-case-ver/63/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14
