item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
NATURE - [NATURE WORLD : CODE W] 3rd Mini NEMO (THIN) Album LIMBO Version,https://www.kpopalbums.com/collections/lastest-release/products/nature-nature-world-code-w-3rd-mini-nemo-album-thin-version,9.98,11.74,False,0.00,0,0,kpopalbums,False,2022-11-14
NATURE - [NATURE WORLD : CODE W] 3rd Mini NEMO (THIN) Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/nature-nature-world-code-w-3rd-mini-nemo-thin-album-random-version,9.49,11.16,False,0.00,0,0,kpopalbums,False,2022-11-14
NATURE - [NATURE WORLD : CODE W] 3rd Mini NEMO (THIN) Album 넘어와 Version,https://www.kpopalbums.com/collections/lastest-release/products/nature-nature-world-code-w-3rd-mini-nemo-thin-album-version,9.98,11.74,False,0.00,0,0,kpopalbums,False,2022-11-14
NINE.i - [I (Part.1)] 2nd Mini Album,https://www.kpopalbums.com/collections/lastest-release/products/nine-i-i-part-1-2nd-mini-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
[EXTRAORDINARY ATTORNEY WOO] ENA Drama OST NEMO Version,https://www.kpopalbums.com/collections/lastest-release/products/extraordinary-attorney-woo-ena-drama-ost-nemo-version,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
BTS - [BTS WORLD TOUR LOVE YOURSELF : SPEAK YOURSELF [THE FINAL]] DIGITAL CODE,https://www.kpopalbums.com/collections/lastest-release/products/bts-bts-world-tour-love-yourself-speak-yourself-the-final-digital-code-extra-pob,55.17,64.91,False,0.00,0,0,kpopalbums,False,2022-11-14
BTS - [BTS WORLD TOUR LOVE YOURSELF : SPEAK YOURSELF [THE FINAL]] DVD,https://www.kpopalbums.com/collections/lastest-release/products/bts-bts-world-tour-love-yourself-speak-yourself-the-final-dvd-extra-pob,45.93,54.03,False,0.00,0,0,kpopalbums,False,2022-11-14
Forestella - [FORESTELLA IN FOREST!] PHOTOBOOK,https://www.kpopalbums.com/collections/lastest-release/products/forestella-forestella-in-forest-photobook,39.19,43.54,False,0.00,0,0,kpopalbums,True,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album 3 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-3-version-set,45.93,54.03,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album DAWN Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-dawn-version,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case 4 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-4-version-set,40.65,47.82,False,0.00,0,0,kpopalbums,True,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case DONGWOON Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-dongwoon-version,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case DUJUN Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-dujun-version,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case GIKWANG Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-gikwang-version,10.56,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-random-version,10.03,11.80,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album Jewel Case YOSEOP Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-jewel-case-yoseop-version,10.56,12.42,False,0.00,0,0,kpopalbums,True,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album MIDNIGHT Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-midnight-version,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album NIGHT Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-night-version,15.84,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
Highlight - [AFTER SUNSET] 4th Mini Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/highlight-after-sunset-4th-mini-album-random-version,15.04,17.70,False,0.00,0,0,kpopalbums,False,2022-11-14
JIAE - [LOVE IS LOVE],https://www.kpopalbums.com/collections/lastest-release/products/jiae-love-is-love,17.18,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
NATURE - [NATURE WORLD : CODE W] 3rd Mini Album,https://www.kpopalbums.com/collections/lastest-release/products/nature-nature-world-code-w-3rd-mini-album,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
PINK FANTASY - [Bizarre Story],https://www.kpopalbums.com/collections/lastest-release/products/pink-fantasy-bizarre-story,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
