,item,url,artist,discount_price,price,sold_out,ds
38,TWICE TOGETHER 1&2 BADGE -  TWICE 7TH ANNIVERSARY,/product/twice-together-12-badge-twice-7th-anniversary/922/category/293/display/1/,TWICE,0.0,12.0,False,2022-10-24
39,TWICE HOOD ZIP UP - TWICE 7TH ANNIVERSARY,/product/twice-hood-zip-up-twice-7th-anniversary/921/category/293/display/1/,TWICE,0.0,68.0,False,2022-10-24
40,TWICE ECO BAG -  TWICE 7TH ANNIVERSARY,/product/twice-eco-bag-twice-7th-anniversary/920/category/293/display/1/,TWICE,0.0,28.0,False,2022-10-24
41,CHAEYOUNG BUCKET HAT - TWICE 7TH ANNIVERSARY,/product/chaeyoung-bucket-hat-twice-7th-anniversary/918/category/293/display/1/,TWICE,0.0,37.0,False,2022-10-24
42,DAHYUN DUB MAT -  TWICE 7TH ANNIVERSARY,/product/dahyun-dub-mat-twice-7th-anniversary/917/category/293/display/1/,TWICE,0.0,32.0,False,2022-10-24
43,MINA CHECKED SHIRT - TWICE 7TH ANNIVERSARY,/product/mina-checked-shirt-twice-7th-anniversary/916/category/293/display/1/,TWICE,0.0,78.0,False,2022-10-24
44,JIHYO PADDED SCARF -  TWICE 7TH ANNIVERSARY,/product/jihyo-padded-scarf-twice-7th-anniversary/915/category/293/display/1/,TWICE,0.0,45.0,False,2022-10-24
45,SANA POUCH - TWICE 7TH ANNIVERSARY,/product/sana-pouch-twice-7th-anniversary/914/category/293/display/1/,TWICE,0.0,35.0,False,2022-10-24
46,MOMO BEER CUP - TWICE 7TH ANNIVERSARY,/product/momo-beer-cup-twice-7th-anniversary/913/category/293/display/1/,TWICE,0.0,25.0,False,2022-10-24
47,JEONGYEON STRESS BALL - TWICE 7TH ANNIVERSARY,/product/jeongyeon-stress-ball-twice-7th-anniversary/912/category/293/display/1/,TWICE,0.0,20.0,False,2022-10-24
48,NAYEON BLANKET - TWICE 7TH ANNIVERSARY,/product/nayeon-blanket-twice-7th-anniversary/911/category/293/display/1/,TWICE,0.0,45.0,False,2022-10-24
49,NAYEON ACRYLIC RING - IM NAYEON,/product/nayeon-acrylic-ring-im-nayeon/527/category/293/display/1/,TWICE,0.0,25.0,False,2022-10-24
50,NAYEON FABRIC POSTER CALENDAR - IM NAYEON,/product/nayeon-fabric-poster-calendar-im-nayeon/524/category/293/display/1/,TWICE,0.0,18.0,False,2022-10-24
51,NAYEON DECO STICKER PACK - IM NAYEON,/product/nayeon-deco-sticker-pack-im-nayeon/523/category/293/display/1/,TWICE,0.0,12.0,False,2022-10-24
52,NAYEON T-SHIRT - IM NAYEON,/product/nayeon-t-shirt-im-nayeon/519/category/293/display/1/,TWICE,0.0,38.0,False,2022-10-24
53,NAYEON REUSABLE CUP - IM NAYEON,/product/nayeon-reusable-cup-im-nayeon/526/category/293/display/1/,TWICE,0.0,13.0,False,2022-10-24
54,NAYEON LANYARD - IM NAYEON,/product/nayeon-lanyard-im-nayeon/525/category/293/display/1/,TWICE,0.0,20.0,False,2022-10-24
55,NAYEON COLLECT BOOK - IM NAYEON,/product/nayeon-collect-book-im-nayeon/522/category/293/display/1/,TWICE,0.0,28.0,False,2022-10-24
56,NAYEON ACRYLIC KIT - IM NAYEON,/product/nayeon-acrylic-kit-im-nayeon/521/category/293/display/1/,TWICE,0.0,35.0,False,2022-10-24
57,NAYEON PORTRAIT T-SHIRT - IM NAYEON,/product/nayeon-portrait-t-shirt-im-nayeon/520/category/293/display/1/,TWICE,0.0,48.0,False,2022-10-24
58,NAYEON ALBUM BADGE - IM NAYEON,/product/nayeon-album-badge-im-nayeon/517/category/293/display/1/,TWICE,0.0,12.0,False,2022-10-24
59,TWICE GREEN PROJECT,/product/twice-green-project/251/category/293/display/1/,TWICE,0.0,25.0,False,2022-10-24
60,ITZY CHECKMATE - SPECIAL EDITION,/product/itzy-checkmate-special-edition/546/category/62/display/1/,ITZY,10.37,12.8,False,2022-10-24
61,CHECKMATE,/product/checkmate/258/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
62,IT'z ME,/product/itz-me/95/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
63,Not Shy,/product/not-shy/90/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
64,GUESS WHO,/product/guess-who/86/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
65,IT’z ICY,/product/itz-icy/97/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
66,1st Album CRAZY IN LOVE,/product/1st-album-crazy-in-love/68/category/62/display/1/,ITZY,16.36,20.2,False,2022-10-24
67,1st Album CRAZY IN LOVE (Jewel Case Ver.),/product/1st-album-crazy-in-love-jewel-case-ver/67/category/62/display/1/,ITZY,10.37,12.8,False,2022-10-24
68,CHECKMATE LIMITED EDITION,/product/checkmate-limited-edition/257/category/62/display/1/,ITZY,13.36,16.5,False,2022-10-24
