item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-2-version-set,19.38,24.22,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album OVER Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-over-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-random-version,9.44,11.80,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album SHY Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-shy-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) ARTBEAT - [MAGIC] 1st Mini Album,https://www.kpopalbums.com/collections/pre-order/products/artbeat-magic-1st-mini-album,12.46,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-2-version-set,31.53,39.41,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album DX Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-dx-version,16.17,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album LIMITED Edition,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-limited-edition,24.84,31.05,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album POCA Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-poca-version,11.19,13.99,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-random-version,15.36,19.20,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album X Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-x-version,16.17,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JAMBINAI - [APPARITION / 발현 / 發顯],https://www.kpopalbums.com/collections/pre-order/products/jambinai-apparition,12.46,15.58,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album 2 Version SET (Extra POB),https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-2-version-set-extra-pob,29.06,36.33,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK 5 Version SET,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-5-version-set,56.79,70.99,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK CHOI BYUNG-CHAN Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-choi-byung-chan-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK DO HAN-SE Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-do-han-se-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK JUNG SU-BIN Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-jung-su-bin-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK KANG SEUNG-SIK Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-kang-seung-sik-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK LIM SE-JUN Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-lim-se-jun-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album DIGIPACK RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-digipack-random-version,11.24,14.05,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album FREE Version (Extra POB),https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-free-version-extra-pob,14.90,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album PLATFORM Version,https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-platform-version,10.57,13.21,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album RANDOM Version (Extra POB),https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-random-version-extra-pob,14.16,17.70,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VICTON - [Choice] 8th Mini Album TIME Version (Extra POB),https://www.kpopalbums.com/collections/pre-order/products/victon-choice-8th-mini-album-time-version-extra-pob,14.90,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) AIMERS - [STAGE 0. BETTING STARTS] 1st Mini Album,https://www.kpopalbums.com/collections/pre-order/products/aimers-stage-0-betting-starts-1st-mini-album,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) AIMERS - [STAGE 0. BETTING STARTS] 1st Mini Album NEMO Version,https://www.kpopalbums.com/collections/pre-order/products/aimers-stage-0-betting-starts-1st-mini-album-nemo-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-album-2-version-set,26.78,33.47,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini Album EQUAL Version,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-album-equal-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-album-random-version,13.05,16.31,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini Album SIMILAR Version,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-album-similar-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini NEMO Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-nemo-album-2-version-set,19.38,24.22,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) JUST B - [= (NEUN)] 3rd Mini NEMO Album E Version,https://www.kpopalbums.com/collections/pre-order/products/just-b-neun-3rd-mini-nemo-album-e-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
