,item,url,artist,discount_price,price,sold_out,ds
35,NAYEON PORTRAIT T-SHIRT - IM NAYEON,/product/nayeon-portrait-t-shirt-im-nayeon/520/category/293/display/1/,TWICE,0.0,48.0,True,2022-11-14
36,NAYEON ALBUM BADGE - IM NAYEON,/product/nayeon-album-badge-im-nayeon/517/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14
37,TWICE GREEN PROJECT,/product/twice-green-project/251/category/293/display/1/,TWICE,0.0,25.0,True,2022-11-14
38,ITZY GREEN PROJECT,/product/itzy-green-project/253/category/241/display/1/,ITZY,0.0,25.0,True,2022-11-14
39,NMIXX MIXXPEDIA: PICK LA,/product/nmixx-mixxpedia-pick-la/532/category/207/display/1/,NMIXX,0.0,45.0,False,2022-11-14
40,NMIXX GREEN PROJECT,/product/nmixx-green-project/255/category/207/display/1/,NMIXX,0.0,25.0,True,2022-11-14
41,DAY6 (Even of Day) DENIMALZ MINI TOWEL - 해변의 달링,/product/day6-even-of-day-denimalz-mini-towel-해변의-달링/736/category/167/display/1/,DAY6 (Even of Day),0.0,13.0,False,2022-11-14
42,DAY6 (Even of Day) DENIMALZ ACRYLIC CLIP - 해변의 달링,/product/day6-even-of-day-denimalz-acrylic-clip-해변의-달링/735/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-11-14
43,DAY6 (Even of Day) PHOTOCARD DECO SET - 해변의 달링,/product/day6-even-of-day-photocard-deco-set-해변의-달링/734/category/167/display/1/,DAY6 (Even of Day),0.0,19.0,True,2022-11-14
44,DAY6 (Even of Day) 4 CUTS PHOTO SET - 해변의 달링,/product/day6-even-of-day-4-cuts-photo-set-해변의-달링/733/category/167/display/1/,DAY6 (Even of Day),0.0,12.0,False,2022-11-14
45,DAY6 (Even of Day) STICKER BOOK - 해변의 달링,/product/day6-even-of-day-sticker-book-해변의-달링/732/category/167/display/1/,DAY6 (Even of Day),0.0,16.0,False,2022-11-14
46,"Xdinary Heroes STICKER SET - Hello, World!",/product/xdinary-heroes-sticker-set-hello-world/598/category/260/display/1/,Xdinary Heroes,0.0,13.0,True,2022-11-14
47,"Xdinary Heroes PHOTOCARD HOLDER & PHOTOCARD SET  - Hello, World!",/product/xdinary-heroes-photocard-holder-photocard-set-hello-world/597/category/260/display/1/,Xdinary Heroes,0.0,23.0,True,2022-11-14
48,"Xdinary Heroes PHONE TAB & STRAP SET - Hello, World!",/product/xdinary-heroes-phone-tab-strap-set-hello-world/596/category/260/display/1/,Xdinary Heroes,0.0,19.0,True,2022-11-14
49,"Xdinary Heroes ID PHOTO SET  - Hello, World!",/product/xdinary-heroes-id-photo-set-hello-world/595/category/260/display/1/,Xdinary Heroes,0.0,7.0,True,2022-11-14
50,"Xdinary Heroes SIGNATURE BADGE SET - Hello, World!",/product/xdinary-heroes-signature-badge-set-hello-world/594/category/260/display/1/,Xdinary Heroes,0.0,19.0,True,2022-11-14
51,"Xdinary Heroes T-Shirt - Hello, World!",/product/xdinary-heroes-t-shirt-hello-world/593/category/260/display/1/,Xdinary Heroes,0.0,36.0,True,2022-11-14
52,"Xdinary Heroes BEHIND PHOTOBOOK SET - Hello, World!",/product/xdinary-heroes-behind-photobook-set-hello-world/592/category/260/display/1/,Xdinary Heroes,0.0,26.0,True,2022-11-14
53,Xdinary Heroes GREEN PROJECT,/product/xdinary-heroes-green-project/254/category/260/display/1/,Xdinary Heroes,0.0,25.0,True,2022-11-14
54,Stray Kids GREEN PROJECT,/product/stray-kids-green-project/252/category/254/display/1/,Stray Kids,0.0,25.0,True,2022-11-14
55,CANDYBONG Z,/product/candybong-z/134/category/289/display/1/,TWICE,0.0,36.0,False,2022-11-14
56,OFFICIAL LIGHT STICK,/product/official-light-stick/159/category/88/display/1/,2PM,0.0,38.0,True,2022-11-14
57,DAY6 OFFICIAL LIGHT BAND,/product/day6-official-light-band/711/category/89/display/1/,DAY6,0.0,33.0,True,2022-11-14
58,OFFICIAL LIGHT STICK,/product/official-light-stick/135/category/251/display/1/,Stray Kids,0.0,38.0,True,2022-11-14
59,OFFICIAL LIGHT RING,/product/official-light-ring/160/category/238/display/1/,ITZY,0.0,39.0,True,2022-11-14
60,ACRYLIC LIGHT STICK,/product/acrylic-light-stick/485/category/94/display/1/,NMIXX,0.0,18.0,True,2022-11-14
61,2PM Light Stick Lee Junho Name Sheet - 'Before Midnight',/product/2pm-light-stick-lee-junho-name-sheet-before-midnight/551/category/460/display/1/,JUNHO,0.0,5.0,True,2022-11-14
62,2PM OFFICIAL LIGHT STICK - 'Before Midnight',/product/2pm-official-light-stick-before-midnight/550/category/460/display/1/,JUNHO,0.0,38.0,True,2022-11-14
63,THE HOTTEST ORIGIN : MUST MAKING BOOK,/product/the-hottest-origin-must-making-book/161/category/53/display/1/,2PM,0.0,45.0,True,2022-11-14
64,Beyond LIVE - TWICE : World in A Day PHOTOBOOK,/product/beyond-live-twice-world-in-a-day-photobook/162/category/57/display/1/,TWICE,0.0,35.0,False,2022-11-14
65,4th WORLD TOUR Ⅲ IN SEOUL BLU-RAY,/product/4th-world-tour-in-seoul-blu-ray/174/category/57/display/1/,TWICE,0.0,59.0,True,2022-11-14
66,4th WORLD TOUR Ⅲ IN SEOUL DVD,/product/4th-world-tour-in-seoul-dvd/173/category/57/display/1/,TWICE,0.0,49.0,True,2022-11-14
67,World Tour 'District 9 : Unlock' in SEOUL BLU-RAY,/product/world-tour-district-9-unlock-in-seoul-blu-ray/164/category/60/display/1/,Stray Kids,0.0,55.0,True,2022-11-14
68,World Tour 'District 9 : Unlock' in SEOUL DVD,/product/world-tour-district-9-unlock-in-seoul-dvd/163/category/60/display/1/,Stray Kids,0.0,42.0,True,2022-11-14
