item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
NCT - [NCT 2020: Resonance Pt.1] 2nd Album 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/nct-nct-2020-resonance-pt-1-1st-album-2-version-set-cd-1p-folding-poster-on-pack-booklet-1p-photocard-lyrics-paper-1p-yearbook-card-message-photocard-set-tracking-kpop-sealed-nct-resonance-pt-1-set-c,33.50,39.41,False,,,,kpopalbums,False,2022-11-14
NCT - [NCT 2020: Resonance Pt.1] 2nd Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/nct-nct-2020-resonance-pt-1-1st-album-random-version-cd-1p-folding-poster-on-pack-booklet-1p-photocard-lyrics-paper-1p-yearbook-card-message-photocard-set-tracking-kpop-sealed-nct-resonance-pt-1-ran-c,16.32,19.20,False,5.00,0,3,kpopalbums,False,2022-11-14
NCT - [NCT 2020: Resonance Pt.1] 2nd Album THE FUTURE Version,https://www.kpopalbums.com/collections/restocked/products/nct-nct-2020-resonance-pt-1-1st-album-the-future-version-cd-1p-folding-poster-on-pack-booklet-1p-photocard-lyrics-paper-1p-yearbook-card-message-photocard-set-tracking-kpop-sealed-nct-resonance-pt-1-future-orange-c,17.18,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
NCT - [NCT 2020: Resonance Pt.1] 2nd Album THE PAST Version,https://www.kpopalbums.com/collections/restocked/products/nct-nct-2020-resonance-pt-1-1st-album-the-past-version-cd-1p-folding-poster-on-pack-booklet-1p-photocard-lyrics-paper-1p-yearbook-card-message-photocard-set-tracking-kpop-sealed-nct-resonance-pt-1-past-blue-c,17.18,20.21,False,5.00,0,1,kpopalbums,False,2022-11-14
NCT - [Universe] 3rd Album PHOTOBOOK Version,https://www.kpopalbums.com/collections/restocked/products/nct-universe-3rd-album,14.15,20.21,False,5.00,0,5,kpopalbums,False,2022-11-14
NCT 127 - [NCT #127 Neo Zone] 2nd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/restocked/products/nct-127-nct-127-neo-zone-2nd-mini-album-2-ver-set-cd-1p-folding-poster-on-pack-60p-photobook-20p-lyrics-36p-post-type-poster-1p-photocard-1p-circlecard-message-photocard-set-tracking-kpop-sealed-nct-127-neo-zone-set-c,28.45,33.47,False,,,,kpopalbums,False,2022-11-14
NCT 127 - [NCT #127 Neo Zone] 2nd Mini Album C Version,https://www.kpopalbums.com/collections/restocked/products/nct-127-nct-127-neo-zone-2nd-mini-album-c-ver-cd-1p-folding-poster-on-pack-60p-photobook-20p-lyrics-36p-post-type-poster-1p-photocard-1p-circlecard-message-photocard-set-tracking-kpop-sealed-nct-127-neo-zone-c-c,14.59,17.16,False,,,,kpopalbums,False,2022-11-14
NCT 127 - [NCT #127 Neo Zone] 2nd Mini Album N Version,https://www.kpopalbums.com/collections/restocked/products/nct-127-nct-127-neo-zone-2nd-mini-album-n-ver-cd-1p-folding-poster-on-pack-60p-photobook-20p-lyrics-36p-post-type-poster-1p-photocard-1p-circlecard-message-photocard-set-tracking-kpop-sealed-nct-127-neo-zone-n-c,14.59,17.16,False,5.00,0,4,kpopalbums,False,2022-11-14
NCT 127 - [NCT #127 Neo Zone] 2nd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/nct-127-nct-127-neo-zone-2nd-mini-album-random-ver-cd-1p-folding-poster-on-pack-60p-photobook-20p-lyrics-36p-post-type-poster-1p-photocard-1p-circlecard-message-photocard-set-tracking-kpop-sealed-nct-127-neo-zone-ran-c,13.86,16.31,False,,,,kpopalbums,False,2022-11-14
NCT 127 - [NCT #127 We Are Superhuman] 4th Mini Album KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/nct-127-nct-127-we-are-superhuman-4th-mini-album-kihno-kit-extra-photto-card-set-tracking-k-pop-sealed-nct-127-wasphm-kihno,13.04,18.63,False,0.00,0,0,kpopalbums,False,2022-11-14
