item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
블랙핑크 | BLACKPINK OFFICIAL MINI LIGHT KEYRING,https://www.musicplaza.com/collections/light-sticks/products/blackpink-%EB%B8%94%EB%9E%99%ED%95%91%ED%81%AC-official-lightstick-key-ring-mini-key-ring,25.99,False,5.00,0,6,musicplaza,False,2022-11-15
펜타곤 | PENTAGON OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/penlig,54.99,False,5.00,0,17,musicplaza,True,2022-11-15
스테이씨 | STAYC OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%94%A8-stayc-official-light-stick,64.99,False,5.00,0,3,musicplaza,False,2022-11-15
스트레이 키즈 | STRAY KIDS OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/stray-kids-1st-lovestay-skz-x-light-stick-mini-key-ring,27.99,False,5.00,0,9,musicplaza,True,2022-11-15
웨이션브이 | WAYV OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/way-v-official-fanlight,69.99,False,5.00,0,17,musicplaza,False,2022-11-15
피원하모니 | P1HARMONY OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/p1harmony-official-light-stick,59.99,False,5.00,0,6,musicplaza,False,2022-11-15
에이티즈 | ATEEZ OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88-ateez-official-lightiny-keyring,34.99,False,5.00,0,10,musicplaza,False,2022-11-15
몬스타 엑스 | MONSTA X OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/944864,59.99,False,5.00,0,28,musicplaza,True,2022-11-15
슈퍼주니어 | SUPER JUNIOR OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/super-junior-official-light-stick-ver-2,59.99,False,5.00,0,9,musicplaza,False,2022-11-15
방탄소년단 | BTS OFFICIAL LIGHT STICK SPECIAL EDITION MAP OF THE SOUL,https://www.musicplaza.com/collections/light-sticks/products/bts-official-light-stick-map-of-the-soul-special-edition,99.99,False,5.00,0,12,musicplaza,False,2022-11-15
아이즈원 | IZ*ONE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%95%84%EC%9D%B4%EC%A6%88%EC%9B%90-iz-one-official-light-stick,54.99,False,5.00,0,14,musicplaza,True,2022-11-15
몬스타엑스 | MONSTA X OFFICIAL LIGHT STICK MINI KEYRING VER. 2,https://www.musicplaza.com/collections/light-sticks/products/monsta-x-mini-light-keyring-ver-2,27.99,False,5.00,0,7,musicplaza,False,2022-11-15
이달의 소녀 | LOONA OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EC%9D%B4%EB%8B%AC%EC%9D%98-%EC%86%8C%EB%85%80-loona-mini-light-keyring,28.99,False,5.00,0,6,musicplaza,True,2022-11-15
아스트로 | ASTRO OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/%EC%95%84%EC%8A%A4%ED%8A%B8%EB%A1%9C-astro-official-light-stick-ver-2,59.99,False,5.00,0,6,musicplaza,False,2022-11-15
엔시티 | NCT OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EC%97%94%EC%8B%9C%ED%8B%B0-%EB%AF%B8%EB%8B%88-%EC%9D%91%EC%9B%90%EB%B4%89-%ED%82%A4%EB%A7%81-nct-mini-fanlight-keyring,25.99,False,5.00,0,9,musicplaza,True,2022-11-15
세븐틴 | SEVENTEEN OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/seventeen-official-light-stick-ver-3,49.99,False,4.93,0,14,musicplaza,True,2022-11-15
투마로바이투게더 | TXT OFFICIAL LIGHT STICK (Photo Card set Included),https://www.musicplaza.com/collections/light-sticks/products/txt-tomorrow-x-together-official-light-stick,89.99,False,5.00,0,7,musicplaza,False,2022-11-15
엑소 | EXO OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/exo-mini-fanlight-keyring,25.99,False,5.00,0,3,musicplaza,True,2022-11-15
스트레이키즈 | STRAY KIDS OFFICIAL LIGHT STICK UNVEIL,https://www.musicplaza.com/collections/light-sticks/products/stray-kids-official-light-stick-unveil-op-02-i-am-who-without-battery,25.99,False,4.92,0,13,musicplaza,True,2022-11-15
워너원 | WANNA ONE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/wan1,49.99,False,5.00,0,6,musicplaza,False,2022-11-15
데이식스 | DAY6 OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/%EB%8D%B0%EC%9D%B4%EC%8B%9D%EC%8A%A4-day6-official-light-keyring,26.99,False,5.00,0,9,musicplaza,False,2022-11-15
데이식스 | DAY6 OFFICIAL LIGHT STICK LIGHT BAND VER. 2,https://www.musicplaza.com/collections/light-sticks/products/day6-official-light-band-light-stick-ver-2,49.99,False,5.00,0,3,musicplaza,False,2022-11-15
슈퍼주니어 | SUPER JUNIOR OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/smmd8013,59.99,False,5.00,0,15,musicplaza,True,2022-11-15
있지 | ITZY OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/itzy-mini-light-keyring,29.99,False,5.00,0,2,musicplaza,False,2022-11-15
샤이니 | SHINEE OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/shinee-mini-fanlight-keyring,25.99,False,4.92,0,12,musicplaza,True,2022-11-15
빅뱅 | BIGBANG OFFICIAL LIGHT STICK VER. 4 BLACK,https://www.musicplaza.com/collections/light-sticks/products/ygmd0793b,39.99,False,4.33,0,6,musicplaza,True,2022-11-15
몬스타엑스 | MONSTA X OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/monsta-x-official-mini-light-key-ring,26.99,False,5.00,0,14,musicplaza,True,2022-11-15
에스파 | AESPA OFFICIAL FAN LIGHT | LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%97%90%EC%8A%A4%ED%8C%8C-aespa-official-fan-light-light-stick,59.99,False,5.00,0,1,musicplaza,False,2022-11-15
원호 | WONHO OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%9B%90%ED%98%B8-wonho-official-light-stick,55.99,False,5.00,0,2,musicplaza,True,2022-11-15
트레져 | TREASURE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%ED%8A%B8%EB%A0%88%EC%A0%B8-treasure-official-light-stick,54.99,False,5.00,0,2,musicplaza,False,2022-11-15
트와이스 | TWICE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/19790,79.99,False,5.00,0,12,musicplaza,True,2022-11-15
아이콘 | IKON OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/ikon-konbat-ver-2-official-light-stick,39.99,False,5.00,0,4,musicplaza,False,2022-11-15
에스에프나인 | SF9 OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/sf9-official-light-stick,54.99,False,5.00,0,14,musicplaza,True,2022-11-15
인피니트 | INFINITE OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/%EC%9D%B8%ED%94%BC%ED%8B%B0%ED%8A%B8-infinite-official-light-stick-ver-2,69.99,False,5.00,0,9,musicplaza,True,2022-11-15
워너원 | WANNA ONE OFFICIAL LIGHT STICK MINI KEYRING,https://www.musicplaza.com/collections/light-sticks/products/wanna-one-%EC%9B%8C%EB%84%88%EC%9B%90-mini-light-keyring-official-concert-goods,26.99,False,5.00,0,11,musicplaza,True,2022-11-15
