,item,url,artist,discount_price,price,sold_out,ds
43,DAY6(The Book of Us) : Negentropy -Chaos swallowed up in love,/product/day6the-book-of-us-negentropy-chaos-swallowed-up-in-love/699/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14
44,DAY6(Even of Day) : Right Through Me,/product/day6even-of-day-right-through-me/698/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14
45,Young K 1st Mini Album : Eternal,/product/young-k-1st-mini-album-eternal/697/category/36/display/1/,Young K(DAY6),14.09,17.4,False,2022-11-14
46,WONPIL(DAY6) : Pilmography,/product/wonpilday6-pilmography/696/category/36/display/1/,WONPIL(DAY6),14.82,18.3,False,2022-11-14
47,DAY6 3rd Album The Book of Us : Entropy,/product/day6-3rd-album-the-book-of-us-entropy/677/category/36/display/1/,DAY6,14.09,17.4,False,2022-11-14
48,DAY6 5th Mini Album The Book of Us : Gravity,/product/day6-5th-mini-album-the-book-of-us-gravity/676/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14
49,DAY6 2nd Album MOONRISE,/product/day6-2nd-album-moonrise/675/category/36/display/1/,DAY6,14.82,18.3,False,2022-11-14
50,DAY6 1st Album SUNRISE,/product/day6-1st-album-sunrise/674/category/36/display/1/,DAY6,14.82,18.3,False,2022-11-14
51,DAY6 4th Mini Album Remember Us : Youth Part 2,/product/day6-4th-mini-album-remember-us-youth-part-2/673/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14
52,DAY6 3rd Mini Album Shoot Me : Youth Part 1,/product/day6-3rd-mini-album-shoot-me-youth-part-1/672/category/36/display/1/,DAY6,13.36,16.5,False,2022-11-14
53,DAY6 2nd Mini Album DAYDREAM,/product/day6-2nd-mini-album-daydream/671/category/36/display/1/,DAY6,12.64,15.6,False,2022-11-14
54,DAY6 1st Mini Album The DAY,/product/day6-1st-mini-album-the-day/670/category/36/display/1/,DAY6,11.91,14.7,True,2022-11-14
55,[VIDEO CALL EVENT] Xdinary Heroes 2nd Mini Album Overload,/product/video-call-event-xdinary-heroes-2nd-mini-album-overload/993/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14
56,[FAN SIGN EVENT] Xdinary Heroes 2nd Mini Album Overload,/product/fan-sign-event-xdinary-heroes-2nd-mini-album-overload/992/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14
57,"Xdinary Heroes 1st Mini Album HELLO, WORLD!",/product/xdinary-heroes-1st-mini-album-hello-world/486/category/93/display/1/,Xdinary Heroes,16.36,20.2,False,2022-11-14
58,Xdinary Heroes 2nd Mini Album Overload,/product/xdinary-heroes-2nd-mini-album-overload/939/category/93/display/1/,Xdinary Heroes,16.36,20.2,True,2022-11-14
59,3rd album Grown [A ver],/product/3rd-album-grown-a-ver/241/category/52/display/1/,2PM,14.98,18.5,False,2022-11-14
